ReferenceDay,Year,Month,Day,Hour,Minute,Second,BMRLabel,PFlux,PArea,PLatitude,PLongitude,PpixelAvgRadius,NFlux,NArea,NLatitude,NLongitude,NpixelAvgRadius,R,LeadingPolarity,DayAfterChrist,FRACYEAR,PlotSize,BMRLatitude,BMRLongitude,BMRArea,BMRFlux,Flux_cut,Tilt_rel,Tilt_abs,HH_22n,AH_22n,HH_22s,AH_22s,HH_23n,AH_23n,HH_23s,AH_23s,Cycle22n,Cycle22s,Cycle23n,Cycle23s,Hale,AntiHale
916,1992,7,5,14,29,17,141,1.22e+22,3.47e+19,-4.0166,53.538,2.5238,-1.98e+22,4.42e+19,-6.3931,47.938,2.3896,6.0616,1,728000.0,1992.5,88.82567196480981,-5.20485,50.738,3.945e+19,3.2e+22,True,23.080408552864075,23.080408552864075,False,False,True,False,False,False,False,False,False,True,False,False,True,False
926,1992,7,15,16,5,44,142,1.8e+22,3.34e+19,-12.964,30.469,2.6402,-1.6e+22,4.09e+19,-12.462,28.493,3.3159,1.992,1,728000.0,1992.5,86.1974477580398,-12.713,29.481,3.715e+19,3.4e+22,True,-14.597462504120251,-14.597462504120251,False,False,True,False,False,False,False,False,False,True,False,False,True,False
920,1992,7,9,16,51,24,143,1.4e+21,5.05e+18,-11.61,74.506,0.76626,-6.72e+20,2.98e+18,-12.007,72.278,0.7155,2.2164,1,728000.0,1992.5,28.337254630609507,-11.8085,73.392,4.015e+18,2.072e+21,False,10.317104329151938,10.317104329151938,False,False,True,False,False,False,False,False,False,True,False,False,True,False
920,1992,7,9,16,51,24,145,1.84e+21,7.48e+18,-14.659,92.216,1.0275,-3.33e+21,1.47e+19,-14.498,87.193,1.4541,4.8645,1,728000.0,1992.5,47.09564735726647,-14.5785,89.7045,1.109e+19,5.17e+21,True,-1.896877762808045,-1.896877762808045,False,False,True,False,False,False,False,False,False,True,False,False,True,False
927,1992,7,16,14,50,14,146,4.28e+22,9.02e+19,-11.123,19.854,3.8325,-3.06e+22,9.16e+19,-10.667,9.4798,3.8024,10.197,1,728000.0,1992.5,134.8332303254654,-10.895,14.666899999999998,9.09e+19,7.34e+22,True,-2.5629641381983155,-2.5629641381983155,False,False,True,False,False,False,False,False,False,True,False,False,True,False
923,1992,7,12,14,51,37,148,4.52e+21,6.64e+18,-9.8534,-22.764,0.84983,-6.1e+21,2.14e+19,-11.975,-27.093000000000004,1.736,4.7499,1,728000.0,1992.5,52.952809179494906,-10.9142,-24.9285,1.402e+19,1.062e+22,True,26.524619638573267,26.524619638573267,False,False,True,False,False,False,False,False,False,True,False,False,True,False
923,1992,7,12,14,51,37,150,2.86e+22,8.3e+19,12.130999999999998,-43.822,3.7613,-2e+22,6.57e+19,8.6303,-36.422,2.9229,8.0762,-1,728000.0,1992.5,121.94260945215171,10.38065,-40.122,7.435e+19,4.86e+22,True,-25.684734679718098,154.3152653202819,True,False,False,False,False,False,False,False,True,False,False,False,True,False
932,1992,7,21,14,24,57,151,9.95e+21,2.4e+19,24.66,-52.37,1.9492,-1.39e+22,4.06e+19,21.387,-46.695,2.3284,6.1625,-1,728000.0,1992.6,80.37412518964048,23.0235,-49.5325,3.23e+19,2.385e+22,True,-32.07359220570111,147.9264077942989,True,False,False,False,False,False,False,False,True,False,False,False,True,False
927,1992,7,16,14,50,14,152,1.08e+22,3.5e+19,-23.197,5.25,2.1455,-6.61e+21,2.8e+19,-23.348000000000003,-1.5077,2.2287,6.2091,1,728000.0,1992.5,79.37253933193772,-23.2725,1.87115,3.15e+19,1.741e+22,True,1.3933862595219857,1.3933862595219857,False,False,True,False,False,False,False,False,False,True,False,False,True,False
927,1992,7,16,14,50,14,153,1.25e+21,5.57e+18,-12.768,-67.28699999999999,0.81593,-2.01e+21,7.93e+18,-13.902,-71.443,0.97048,4.1999,1,728000.0,1992.5,36.74234614174768,-13.335,-69.365,6.75e+18,3.26e+21,True,15.664512724816529,15.664512724816529,False,False,True,False,False,False,False,False,False,True,False,False,True,False
927,1992,7,16,14,50,14,154,1.21e+22,3.51e+19,16.137,-99.083,2.4598,-3.39e+21,4.59e+18,16.713,-95.723,0.68588,3.274,-1,728000.0,1992.5,63.0,16.425,-97.403,1.9845e+19,1.549e+22,True,10.13303734150006,-169.86696265849994,True,False,False,False,False,False,False,False,True,False,False,False,True,False
929,1992,7,18,14,15,34,158,1.49e+21,6.41e+18,-16.675,-74.075,1.1559,-2.77e+21,1.55e+19,-16.342,-84.84299999999999,2.0945,10.328,1,728000.0,1992.5,46.80811895387381,-16.508499999999998,-79.459,1.0955e+19,4.26e+21,True,-1.847410489984317,-1.847410489984317,False,False,True,False,False,False,False,False,False,True,False,False,True,False
932,1992,7,21,14,24,57,160,2.9e+21,1.54e+19,18.292,-104.74,2.4663,-2.42e+21,1.28e+19,16.53,-97.319,1.3765,7.2961,-1,728000.0,1992.6,53.10367218940701,17.411,-101.0295,1.41e+19,5.32e+21,True,-13.973414796765292,166.0265852032347,True,False,False,False,False,False,False,False,True,False,False,False,True,False
932,1992,7,21,14,24,57,161,6.02e+21,1.24e+19,-16.984,-53.334,1.2756,-3.51e+21,8.74e+18,-17.471,-56.599,1.1292,3.1559,1,728000.0,1992.6,45.9782557302906,-17.2275,-54.9665,1.057e+19,9.53e+21,True,8.875838827507488,8.875838827507488,False,False,True,False,False,False,False,False,False,True,False,False,True,False
932,1992,7,21,14,24,57,162,4.42e+21,1.41e+19,-2.7792,-63.747,1.492,-2.46e+21,5.78e+18,-4.427,-61.172,0.78408,3.0533,-1,728000.0,1992.6,44.58699361921591,-3.6031,-62.4595,9.94e+18,6.88e+21,True,-32.66757655814284,147.33242344185717,False,False,False,True,False,False,False,False,False,True,False,False,False,True
933,1992,7,22,14,52,1,163,3.86e+21,1.6e+19,18.353,-116.93,1.3439,-2.96e+21,1.14e+19,18.424,-113.59,1.2377,3.1645,-1,728000.0,1992.6,52.3450093132096,18.3885,-115.26,1.37e+19,6.82e+21,True,1.2832859208429737,-178.716714079157,True,False,False,False,False,False,False,False,True,False,False,False,True,False
938,1992,7,27,20,46,43,165,7.08e+21,1.13e+19,-18.955,148.82,1.0928,-9.06e+21,2.98e+19,-22.45,141.6,2.0253,7.603,1,728000.0,1992.6,64.10928169929844,-20.7025,145.20999999999998,2.055e+19,1.614e+22,True,27.36097145313184,27.36097145313184,False,False,True,False,False,False,False,False,False,True,False,False,True,False
938,1992,7,27,20,46,43,166,1.48e+21,6.97e+18,-13.908,-162.45,0.92243,-2.02e+21,8.09e+18,-14.184,-165.37,1.154,2.8457,1,728000.0,1992.6,38.80721582386451,-14.046,-163.91,7.53e+18,3.5e+21,True,5.564974114881947,5.564974114881947,False,False,True,False,False,False,False,False,False,True,False,False,True,False
