Year,Month,Day,Hour,Minute,Second,BMRLabel,PFlux,PArea,PLatitude,PLongitude,PpixelAvgRadius,NFlux,NArea,NLatitude,NLongitude,NpixelAvgRadius,R,LeadingPolarity,DayAfterChrist,FRACYEAR,PlotSize,BMRLatitude,BMRLongitude,BMRArea,BMRFlux,Tilt_rel,Tilt_abs,HH_21n,AH_21n,HH_21s,AH_21s,HH_22n,AH_22n,HH_22s,AH_22s,Cycle21n,Cycle21s,Cycle22n,Cycle22s,Hale,AntiHale,Date,Instrument,HH_23n,AH_23n,HH_23s,AH_23s,Cycle23n,Cycle23s,HH_24n,AH_24n,HH_24s,AH_24s,Cycle24n,Cycle24s
1980,3,23,15,20,49.0,1373,8.84e+21,5.07e+19,-31.019,-87.961,3.4696,-1.08e+22,5.63e+19,-24.788,-71.578,3.256,15.74,-1,723000.0,1980.2,103.440804327886,-27.9035,-79.7695,5.35e+19,1.964e+22,23.285558760656684,-156.71444123934333,False,False,True,False,False,False,False,False,False,True,False,False,True,False,1980-03-23 15:20:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,3,22,15,55,37.0,1374,3.57e+21,2.12e+19,21.667,-108.09,1.9182,-2.65e+21,1.23e+19,22.588,-110.7,1.2392,2.5873,1,723000.0,1980.2,57.87918451395113,22.1275,-109.395,1.675e+19,6.22e+21,-20.85332950513316,-20.85332950513316,True,False,False,False,False,False,False,False,True,False,False,False,True,False,1980-03-22 15:55:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,3,25,14,19,35.0,1375,3e+21,1.78e+19,-28.011,-95.69,1.6623,-1.5e+21,5.64e+18,-27.418000000000003,-90.313,0.97983,4.7968,-1,723000.0,1980.2,48.41487374764082,-27.7145,-93.0015,1.172e+19,4.5e+21,7.101121405211161,-172.8988785947888,False,False,True,False,False,False,False,False,False,True,False,False,True,False,1980-03-25 14:19:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,4,1,15,21,35.0,1378,1.97e+22,9.17e+19,10.702,-127.89,3.6605,-9.58e+21,5.49e+19,13.936,-134.8,3.2721,6.8148,1,723000.0,1980.3,121.07848694132248,12.319,-131.345,7.33e+19,2.928e+22,-25.596634175013804,-25.596634175013804,True,False,False,False,False,False,False,False,True,False,False,False,True,False,1980-04-01 15:21:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,3,25,14,19,35.0,1380,8.3e+21,3.17e+19,-26.259,-136.0,2.0492,-7.36e+21,2.18e+19,-27.43,-141.29,1.8187,4.8631,1,723000.0,1980.2,73.14369419163897,-26.8445,-138.64499999999998,2.675e+19,1.566e+22,13.933586032747794,13.933586032747794,False,False,False,True,False,False,False,False,False,True,False,False,False,True,1980-03-25 14:19:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,3,25,14,19,35.0,1381,1.23e+22,4.73e+19,23.203000000000003,-141.67,2.5610000000000004,-1.48e+22,7.8e+19,25.151,-148.16,3.0461,6.231,1,723000.0,1980.2,111.93748255164576,24.177,-144.915,6.265e+19,2.71e+22,-18.21191115634592,-18.21191115634592,True,False,False,False,False,False,False,False,True,False,False,False,True,False,1980-03-25 14:19:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,3,25,14,19,35.0,1382,1.71e+22,8.62e+19,13.708,-144.38,4.3021,-1.03e+22,5.18e+19,15.742,-151.26,2.6614,6.9498,1,723000.0,1980.2,117.4734012447073,14.725,-147.82,6.9e+19,2.74e+22,-16.997290286883096,-16.997290286883096,True,False,False,False,False,False,False,False,True,False,False,False,True,False,1980-03-25 14:19:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,3,28,14,41,59.0,1385,8.15e+21,3.66e+19,-12.713,-174.72,2.2425,-6.19e+21,1.14e+19,-13.657,-170.42,1.1216,4.294,-1,723000.0,1980.2,69.28203230275508,-13.185,-172.57,2.4e+19,1.434e+22,-12.706492645296343,167.29350735470365,False,False,True,False,False,False,False,False,False,True,False,False,True,False,1980-03-28 14:41:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,3,28,14,41,59.0,1386,2.07e+22,5.28e+19,25.896,1.1399999999999864,2.7269,-1.63e+22,5.33e+19,27.329,-3.469999999999999,3.1785,4.1513,1,723000.0,1980.2,103.00485425454472,26.6125,-1.1650000000000065,5.305e+19,3.7e+22,-19.171564476455004,-19.171564476455004,True,False,False,False,False,False,False,False,True,False,False,False,True,False,1980-03-28 14:41:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,3,28,14,41,59.0,1387,4.28e+21,2.72e+19,-20.967,-168.0,2.9072,-6.12e+21,3.58e+19,-17.646,-159.1,2.6636,9.0347,-1,723000.0,1980.2,79.37253933193772,-19.3065,-163.55,3.15e+19,1.04e+22,21.57289723970681,-158.4271027602932,False,False,True,False,False,False,False,False,False,True,False,False,True,False,1980-03-28 14:41:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
