ReferenceDay,Year,Month,Day,Hour,Minute,Second,BMRLabel,PFlux,PArea,PLatitude,PLongitude,PpixelAvgRadius,NFlux,NArea,NLatitude,NLongitude,NpixelAvgRadius,R,LeadingPolarity,DayAfterChrist,FRACYEAR,PlotSize,BMRLatitude,BMRLongitude,BMRArea,BMRFlux,Flux_cut,Tilt_rel,Tilt_abs,HH_24n,AH_24n,HH_24s,AH_24s,Cycle24n,Cycle24s,Hale,AntiHale
1139,2012,2,14,21,46,12.2,646,8.62e+21,2.37e+19,-17.688,-69.005,1.9599,-6.63e+21,2.07e+19,-19.378,-76.999,2.0661,7.7647,1,735000.0,2012.1,66.63332499583073,-18.533,-73.002,2.22e+19,1.525e+22,True,12.569722498005945,12.569722498005945,False,False,True,False,False,True,True,False
1142,2012,2,17,21,46,12.5,648,3.15e+21,1.22e+19,-23.182,-97.51,1.2336,-1.53e+21,5.56e+18,-24.243,-100.94,1.1004,3.3166,1,735000.0,2012.1,42.14261501141096,-23.7125,-99.225,8.88e+18,4.68e+21,True,18.66767861873413,18.66767861873413,False,False,True,False,False,True,True,False
1139,2012,2,14,21,46,12.2,649,2.61e+21,1.26e+19,11.265999999999998,-170.04,1.8343,-4.18e+21,8.76e+18,10.626,-164.41,1.0463,5.5597,-1,735000.0,2012.1,46.21688003316537,10.945999999999998,-167.225,1.068e+19,6.79e+21,True,-6.604482184253048,173.39551781574696,True,False,False,False,True,False,True,False
1138,2012,2,13,21,46,12.1,650,6.96e+21,2.92e+19,26.771,-157.16,2.6091,-9.44e+21,2.44e+19,29.163,-160.09,2.0722,3.5244,1,735000.0,2012.1,73.2120208708925,27.967,-158.625,2.68e+19,1.64e+22,True,-42.74804370543863,-42.74804370543863,False,True,False,False,True,False,False,True
1137,2012,2,12,21,46,12.0,653,1.09e+21,5.39e+18,25.263,-126.0,1.0906,-4.51e+21,1.83e+19,18.387,-119.99,2.0749,8.8553,-1,735000.0,2012.1,48.67237409455184,21.825000000000003,-122.995,1.1845e+19,5.6e+21,True,-50.94392895874712,129.0560710412529,True,False,False,False,True,False,True,False
1149,2012,2,24,21,46,13.2,655,9.71e+21,3.28e+19,16.125999999999998,177.51,2.4867,-9.21e+21,9.93e+18,15.263,177.79,1.1265,0.90531,-1,735000.0,2012.2,65.36818798161687,15.694499999999998,177.64999999999998,2.1365e+19,1.892e+22,True,-72.6536293572885,107.3463706427115,True,False,False,False,True,False,True,False
1147,2012,2,22,21,46,13.0,656,3.44e+21,1.55e+19,14.446,129.89,2.5299,-3.61e+20,1.71e+18,16.61,135.45,0.68629,5.7791,-1,735000.0,2012.1,41.48493702538308,15.528,132.67,8.605e+18,3.801e+21,True,21.996394275450022,-158.00360572454997,True,False,False,False,True,False,True,False
1152,2012,2,27,21,46,13.6,661,7.35e+20,2.26e+18,10.672,73.836,0.5532100000000001,-1.03e+21,3.88e+18,11.274,76.37,0.87218,2.5598,-1,735000.0,2012.2,24.779023386727733,10.973,75.10300000000001,3.07e+18,1.765e+21,False,13.603678891413011,-166.39632110858702,True,False,False,False,True,False,True,False
1152,2012,2,27,21,46,13.6,666,5.5e+21,2.69e+19,11.002,31.748,2.02,-4.17e+21,1.88e+19,9.5366,39.544,1.8755,7.8094,-1,735000.0,2012.2,67.60177512462228,10.2693,35.646,2.285e+19,9.67e+21,True,-10.81482237213398,169.185177627866,True,False,False,False,True,False,True,False
1156,2012,3,2,21,46,14.1,669,1.45e+21,7.1e+18,22.717,49.258,1.758,-3.36e+21,7e+18,16.49,55.63399999999999,1.1609,8.6487,-1,735000.0,2012.2,37.54996671103717,19.6035,52.446,7.05e+18,4.81e+21,True,-46.03294805576351,133.9670519442365,True,False,False,False,True,False,True,False
1159,2012,3,5,21,46,14.4,670,5.67e+21,1.48e+19,-16.151,-38.174,1.5317,-6.47e+21,1.48e+19,-17.746,-42.566,1.4189,4.4938,1,735000.0,2012.2,54.40588203494177,-16.9485,-40.370000000000005,1.48e+19,1.214e+22,True,20.78924311843095,20.78924311843095,False,False,True,False,False,True,True,False
1165,2012,3,11,21,46,15.2,672,4.4e+21,2.06e+19,20.165,-45.955,2.6444,-7.13e+21,2.36e+19,20.216,-43.315,1.808,2.4777,-1,735000.0,2012.2,66.48308055437865,20.1905,-44.635,2.21e+19,1.153e+22,True,1.179152636400853,-178.82084736359914,True,False,False,False,True,False,True,False
1158,2012,3,4,21,46,14.3,674,1.85e+22,4.59e+19,17.268,-59.149,3.7265,-2.67e+22,4.14e+19,17.009,-60.699,2.5121,1.5031,1,735000.0,2012.2,93.43446901438462,17.1385,-59.92399999999999,4.365e+19,4.52e+22,True,9.918543391048267,9.918543391048267,False,True,False,False,True,False,False,True
1161,2012,3,7,21,46,14.7,675,2.24e+21,8.8e+18,-27.104,18.841,1.0777,-2.44e+21,9.06e+18,-29.686,14.719,1.2529,4.4510000000000005,1,735000.0,2012.2,42.26109321823088,-28.395,16.78,8.93e+18,4.68e+21,True,35.45326996174189,35.45326996174189,False,False,True,False,False,True,True,False
1160,2012,3,6,21,46,14.6,676,9.95e+20,4.4e+18,30.976,26.684,0.96949,-1.65e+21,7.93e+18,31.034,29.559,1.0344,2.4645,-1,735000.0,2012.2,35.11409973215888,31.005000000000003,28.1215,6.165e+18,2.645e+21,False,1.3483100714135103,-178.6516899285865,True,False,False,False,True,False,True,False
1167,2012,3,13,21,46,15.5,677,2.43e+21,1.15e+19,-18.079,-64.758,1.5489,-1.34e+21,6.55e+18,-19.148,-76.919,1.4915,11.571,1,735000.0,2012.2,42.485291572496,-18.6135,-70.8385,9.025e+18,3.77e+21,True,5.299347368018473,5.299347368018473,False,False,True,False,False,True,True,False
1166,2012,3,12,21,46,15.4,678,5.61e+21,2.15e+19,14.499,-138.85,2.0856,-3.64e+21,1.49e+19,16.211,-134.62,2.1012,4.4284,-1,735000.0,2012.2,60.33241251599343,15.355,-136.735,1.82e+19,9.25e+21,True,22.76829199954205,-157.23170800045796,True,False,False,False,True,False,True,False
